number of params:  22914
0/2000 NLL loss: 365.05963134765625
100/2000 NLL loss: 248.4454345703125
200/2000 NLL loss: 220.7886199951172
300/2000 NLL loss: 209.20460510253906
400/2000 NLL loss: 201.05577087402344
500/2000 NLL loss: 190.0577392578125
600/2000 NLL loss: 163.54818725585938
700/2000 NLL loss: 142.5899658203125
800/2000 NLL loss: 149.96302795410156
900/2000 NLL loss: 129.03134155273438
1000/2000 NLL loss: 121.75126647949219
1100/2000 NLL loss: 121.70079040527344
1200/2000 NLL loss: 115.56309509277344
1300/2000 NLL loss: 121.9624252319336
1400/2000 NLL loss: 105.52830505371094
1500/2000 NLL loss: 102.26190185546875
1600/2000 NLL loss: 95.26057434082031
1700/2000 NLL loss: 96.17699432373047
1800/2000 NLL loss: 97.55123901367188
1900/2000 NLL loss: 93.91661834716797
2000/2000 NLL loss: 87.41019439697266
